facilitycode,facilitycodestd,facilitytype,pkbout,pkbmsgexclusions,ukrdcoutpkb,pvoutpkb,startdate,enddate,firstdataquarter,pkboutstartdate,radar_out,enabled_radar_extracts
9RQS1,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RQY,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RRBBV,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RRK02,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RTP02,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RTQ,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RVEB1,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RVJ21,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RW,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RW402,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
990,RR1+,Other,False,,False,False,,,,,False,
9RWD,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RWDLB,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RWJ,RR1+,Adult Renal Centre,False,,False,False,,,111,,False,
9RWP31,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RWX,RR1+,Adult Renal Centre,False,,False,False,,,106,,False,
9RXV06,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9RXX,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
9TAF,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
ABROAD,RR1+,Other,False,,False,False,,,,,False,
DEMO,RR1+,Other,False,,False,False,,,,,False,
MV101,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
NHSWLS,RR1+,Multiple Centre,True,"[""ZTM""]",False,True,,,,,False,
R1G55,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RA301,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RA723,RR1+,Paediatric Renal Centre,True,,False,True,,,120,,False,
RA911,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RADAR,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RAE01,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RAE05,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RAJ,RR1+,Adult Renal Centre,True,,True,True,2023-03-08 14:24:00.3,,32,,False,
RAJ01,RR1+,Adult Renal Centre,False,,False,False,,,78,,False,
RAJ12,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RDDH0,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RDDH1,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RQ8L0,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RAJ20,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RAJ32,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RAL01,RR1+,Adult Renal Centre,True,,False,True,,,120,,False,
RAPNM,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RAQ01,RR1+,Adult Renal Centre,True,,False,True,2024-12-12 23:30:30.487,,66,,False,
RAU31,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RAZ,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RBBP3,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RBD01,RR1+,Adult Renal Centre,True,,False,True,2025-09-26 12:01:33.243,,119,,False,
RBF33,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RBH14,RR1+,Adult Renal Centre,False,,False,False,,,116,,False,
RBK02,RR1+,Adult Renal Centre,True,,False,True,,,115,,False,
RBL14,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
