facilitycode,facilitycodestd,facilitytype,pkbout,pkbmsgexclusions,ukrdcoutpkb,pvoutpkb,startdate,enddate,firstdataquarter,pkboutstartdate,radar_out,enabled_radar_extracts
SYC02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
TAF21,RR1+,Adult Renal Centre,True,,False,True,,,116,,False,
XXX01,RR1+,Other,True,,False,True,,,,,False,
XXX03,RR1+,Other,True,,False,True,,,,,False,
RJZ,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJZ_OLD,RR1+,Adult Renal Centre,True,,True,True,2020-02-13 04:30:20.877,2023-10-05 00:00:00,49,,False,
BHLY,RR1+,Multiple Centre,False,,False,False,,,,,False,
9RNJ00,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RF4DG,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGCKH,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGCNH,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RNJ00,RR1+,Adult Renal Centre,True,,True,True,2020-02-04 12:59:07.421,,49,,False,
999,RR1+,Other,True,,False,True,,,,,False,
995,RR1+,Other,True,,False,True,,,,,False,
3C,RR1+,Other,True,,False,True,,,,,False,
TRACING,RR1+,Other,True,,False,True,,,,,False,
GUERNSEY,RR1+,Other,True,,False,True,,,,,False,
ISLEMAN,RR1+,Other,True,,False,True,,,,,False,
JERSEY,RR1+,Other,True,,False,True,,,,,False,
PRIVATE,RR1+,Other,True,,False,True,,,,,False,
RNS,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RGN90,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
PHOS,RR1+,Other,False,,False,False,,,,,False,
SIMP,RR1+,Other,False,,False,False,,,,,False,
99RHM01,RR1+,Paediatric Renal Centre,False,,False,False,,,,,False,
M5O5A,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
O0J8Z,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
O2Q9P,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
R7Y4J,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RH854,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RH875,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RH879,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RH88,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RHW05,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RJC03,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RJC46,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RJE55,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RKB03,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RKB15,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RM12K,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RM574HEX,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RM574OCT,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RTG05,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RTG54,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RTR45,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RTVA1,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
