11021,FALSE,FALSE,,,,FALSE,FALSE
45021,FALSE,FALSE,,,,FALSE,FALSE
7RM301,FALSE,FALSE,,,,FALSE,FALSE
88A713,FALSE,FALSE,,,,FALSE,FALSE
8A713,FALSE,FALSE,,,,FALSE,FALSE
8CJ06,FALSE,FALSE,,,,FALSE,FALSE
8RA911,FALSE,FALSE,,,,FALSE,FALSE
8RAL01,FALSE,FALSE,,,,FALSE,FALSE
8RJ121,FALSE,FALSE,,,,FALSE,FALSE
8TAF,FALSE,FALSE,,,,FALSE,FALSE
96RRK02,FALSE,FALSE,,,,FALSE,FALSE
97RRK02,FALSE,FALSE,,,,FALSE,FALSE
97TAF,FALSE,FALSE,,,,FALSE,FALSE
98A713,FALSE,FALSE,,,,FALSE,FALSE
98CJ06,FALSE,FALSE,,,,FALSE,FALSE
98D917,FALSE,FALSE,,,,FALSE,FALSE
98RAZ,FALSE,FALSE,,,,FALSE,FALSE
98RBK,FALSE,FALSE,,,,FALSE,FALSE
98RFBAK,FALSE,FALSE,,,,FALSE,FALSE
98RJ701,FALSE,FALSE,,,,FALSE,FALSE
98RJZ,FALSE,FALSE,,,,FALSE,FALSE
98RQY,FALSE,FALSE,,,,FALSE,FALSE
98RRBBV,FALSE,FALSE,,,,FALSE,FALSE
98RRK02,FALSE,FALSE,,,,FALSE,FALSE
98TAF,FALSE,FALSE,,,,FALSE,FALSE
990,FALSE,FALSE,,,,FALSE,FALSE
995,FALSE,FALSE,,,,FALSE,FALSE
999,FALSE,FALSE,,,,FALSE,FALSE
99RAZ,FALSE,FALSE,,,,FALSE,FALSE
99RBK,FALSE,FALSE,,,,FALSE,FALSE
99RCSLB,FALSE,FALSE,,,,FALSE,FALSE
99RFBAK,FALSE,FALSE,,,,FALSE,FALSE
99RHU02,FALSE,FALSE,,,,FALSE,FALSE
99RJ121,FALSE,FALSE,,,,FALSE,FALSE
99RJ701,FALSE,FALSE,,,,FALSE,FALSE
99RJZ,FALSE,FALSE,,,,FALSE,FALSE
99RRBBV,FALSE,FALSE,,,,FALSE,FALSE
99RRK02,FALSE,FALSE,,,,FALSE,FALSE
99RXX,FALSE,FALSE,,,,FALSE,FALSE
9IOM,FALSE,FALSE,,,,FALSE,FALSE
9RA743,FALSE,FALSE,,,,FALSE,FALSE
9RA911,FALSE,FALSE,,,,FALSE,FALSE
9RAE05,FALSE,FALSE,,,,FALSE,FALSE
9RAL01,FALSE,FALSE,,,,FALSE,FALSE
9RAZ,FALSE,FALSE,,,,FALSE,FALSE
9RB712,FALSE,FALSE,,,,FALSE,FALSE
9RBD01,FALSE,FALSE,,,,FALSE,FALSE
9RBK,FALSE,FALSE,,,,FALSE,FALSE
9RCF31,FALSE,FALSE,,,,FALSE,FALSE
9RCJAT,FALSE,FALSE,,,,FALSE,FALSE
