source_coding_standard,source_code,destination_coding_standard,destination_code,,,,
RR1+_SATELLITE,RHS55,RR1+_MAIN,RHU02,,,,
RR1+_SATELLITE,RR201,RR1+_MAIN,RHU02,,,,
RR1+_SATELLITE,RPK40,RR1+_MAIN,RHU02,,,,
RR1+_SATELLITE,RNZ02,RR1+_MAIN,RHU02,,,,
RR1+_SATELLITE,9RFU,RR1+_MAIN,RAQ01,,,,
RR1+_SATELLITE,RQW,RR1+_MAIN,RAQ01,,,,
RR1+_SATELLITE,RC971,RR1+_MAIN,RAQ01,,,,
RR1+_SATELLITE,RPW02,RR1+_MAIN,RAQ01,,,,
RR1+_SATELLITE,REF01,RR1+_MAIN,REF12,,,,
RR1+_SATELLITE,RJ866,RR1+_MAIN,REF12,,,,
RR1+_SATELLITE,9RLNGH,RR1+_MAIN,RLNGH,,,,
RR1+_SATELLITE,RR9,RR1+_MAIN,RLNGH,,,,
RR1+_SATELLITE,RJC03,RR1+_MAIN,RKB01,,,,
RR1+_SATELLITE,RKB03,RR1+_MAIN,RKB01,,,,
RR1+_SATELLITE,RLT01,RR1+_MAIN,RKB01,,,,
RR1+_SATELLITE,RJC46,RR1+_MAIN,RKB01,,,,
RR1+_SATELLITE,9RQY,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,99RAZ,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,RJ6,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,RTP02,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,9RXX,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,9RAZ,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,99RXX,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,RG303A,RR1+_MAIN,RAZ,,,,
RR1+_SATELLITE,RVV20,RR1+_MAIN,RVVKC,,,,
RR1+_SATELLITE,RVVMA,RR1+_MAIN,RVVKC,,,,
RR1+_SATELLITE,RPA,RR1+_MAIN,RVVKC,,,,
RR1+_SATELLITE,RVV11,RR1+_MAIN,RVVKC,,,,
RR1+_SATELLITE,RPC20,RR1+_MAIN,RVVKC,,,,
RR1+_SATELLITE,9RQBAU,RR1+_MAIN,RQBAU,,,,
RR1+_SATELLITE,RW5CA,RR1+_MAIN,RMF01,,,,
RR1+_SATELLITE,RMB05,RR1+_MAIN,RMF01,,,,
RR1+_SATELLITE,RXR01,RR1+_MAIN,RMF01,,,,
RR1+_SATELLITE,RXL06,RR1+_MAIN,RMF01,,,,
RR1+_SATELLITE,RJU01,RR1+_MAIN,RMF01,,,,
RR1+_SATELLITE,RE5BW,RR1+_MAIN,RMF01,,,,
RR1+_SATELLITE,RP5BA,RR1+_MAIN,RP5,,,,
RR1+_SATELLITE,RP5MM,RR1+_MAIN,RP5,,,,
RR1+_SATELLITE,99RJZ,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,RJZW,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,98RJZ,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,9RJZ,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,RN7,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,RXJ06,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,RG222,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,88A713,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,R7Y4J,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,RG224,RR1+_MAIN,RJZ,,,,
RR1+_SATELLITE,RKTAG,RR1+_MAIN,RQHC7,,,,
RR1+_SATELLITE,RKUAJ,RR1+_MAIN,RQHC7,,,,
RR1+_SATELLITE,RR6BL,RR1+_MAIN,RQHC7,,,,
RR1+_SATELLITE,RGQ03,RR1+_MAIN,RGQ02,,,,
RR1+_SATELLITE,RRE14,RR1+_MAIN,RL403,,,,
RR1+_SATELLITE,9RL403,RR1+_MAIN,RL403,,,,
RR1+_SATELLITE,9RBK,RR1+_MAIN,RL403,,,,
RR1+_SATELLITE,9RNA3,RR1+_MAIN,RL403,,,,
RR1+_SATELLITE,9RK7CC,RR1+_MAIN,RK7CC,,,,
RR1+_SATELLITE,RFSDA,RR1+_MAIN,RK7CC,,,,
RR1+_SATELLITE,RFRPA,RR1+_MAIN,RK7CC,,,,
RR1+_SATELLITE,RFRAA,RR1+_MAIN,RK7CC,,,,
RR1+_SATELLITE,9RWX,RR1+_MAIN,RHW01,,,,
RR1+_SATELLITE,RHW05,RR1+_MAIN,RHW01,,,,
RR1+_SATELLITE,9RH108,RR1+_MAIN,RHW01,,,,
RR1+_SATELLITE,RXC02,RR1+_MAIN,RGU01,,,,
RR1+_SATELLITE,9RTP02,RR1+_MAIN,RGU01,,,,
RR1+_SATELLITE,RDM03,RR1+_MAIN,RGU01,,,,
RR1+_SATELLITE,RPL04,RR1+_MAIN,RGU01,,,,
RR1+_SATELLITE,RVL07,RR1+_MAIN,RAL01,,,,
RR1+_SATELLITE,98TAF,RR1+_MAIN,RAL01,,,,
RR1+_SATELLITE,9RAL01,RR1+_MAIN,RAL01,,,,
RR1+_SATELLITE,9TAF,RR1+_MAIN,RAL01,,,,
RR1+_SATELLITE,RVL01,RR1+_MAIN,RAL01,,,,
RR1+_SATELLITE,RAPNM,RR1+_MAIN,RAL01,,,,
RR1+_SATELLITE,8A713,RR1+_MAIN,RAL01,,,,
RR1+_SATELLITE,RCC25,RR1+_MAIN,RCB55,,,,
RR1+_SATELLITE,RCB23,RR1+_MAIN,RCB55,,,,
RR1+_SATELLITE,RCD35,RR1+_MAIN,RCB55,,,,
RR1+_SATELLITE,9RBN01,RR1+_MAIN,RQ617,,,,
RR1+_SATELLITE,RQ601,RR1+_MAIN,RQ617,,,,
RR1+_SATELLITE,RKC81,RR1+_MAIN,RQ617,,,,
RR1+_SATELLITE,RBN63,RR1+_MAIN,RQ617,,,,
RR1+_SATELLITE,RQQ31,RR1+_MAIN,RGT01,,,,
RR1+_SATELLITE,RGR50,RR1+_MAIN,RGT01,,,,
RR1+_SATELLITE,RCX01,RR1+_MAIN,RGT01,,,,
RR1+_SATELLITE,RBL20,RR1+_MAIN,RBL14,,,,
RR1+_SATELLITE,RJR05,RR1+_MAIN,RBL14,,,,
RR1+_SATELLITE,RM131,RR1+_MAIN,RM102,,,,
RR1+_SATELLITE,RGP75,RR1+_MAIN,RM102,,,,
RR1+_SATELLITE,REM26,RR1+_MAIN,RW402,,,,
RR1+_SATELLITE,9RW402,RR1+_MAIN,RW402,,,,
RR1+_SATELLITE,RVY01,RR1+_MAIN,RW402,,,,
RR1+_SATELLITE,RTRNT,RR1+_MAIN,RCJAT,,,,
RR1+_SATELLITE,9RCJAT,RR1+_MAIN,RCJAT,,,,
RR1+_SATELLITE,RLBCH,RR1+_MAIN,RCJAT,,,,
RR1+_SATELLITE,RXWAT,RR1+_MAIN,RLZ01,,,,
RR1+_SATELLITE,REFWW,RR1+_MAIN,RK950,,,,
RR1+_SATELLITE,R1G55,RR1+_MAIN,RK950,,,,
RR1+_SATELLITE,9RJ866,RR1+_MAIN,RK950,,,,
RR1+_SATELLITE,8RA911,RR1+_MAIN,RK950,,,,
RR1+_SATELLITE,9RWJ,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RW602,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RM202,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RM403,RR1+_MAIN,RM574,,,,
