coding_standard,code,description,object_type,units,pkb_reference_range,pkb_comment
SNOMED,73211009,Diabetes - Unspecified,,,,
SNOMED,46635009,Diabetes - Type I,,,,
SNOMED,44054006,Diabetes - Type II,,,,
