coding_standard,code,description,object_type,units,pkb_reference_range,pkb_comment
SNOMED,62438007,Pancreas Transplant,,,,
SNOMED,70536003,Kidney Transplant,,,,
SNOMED,6471000179103,Kidney & Pancreas Transplant,,,,
