coding_standard,code,description,object_type,units,pkb_reference_range
PV_RRTSTATUS,GEN,Kidney Care (not Dialysis or Transplant),,,,
PV_RRTSTATUS,HD,Haemodialysis,,,,
PV_RRTSTATUS,PD,Peritoneal Dialysis,,,,
PV_RRTSTATUS,TP,Transplant Follow up,,,,
PV_RRTSTATUS,XFER,Transferred Out,,,,
