coding_standard,code,description,object_type,units,pkb_reference_range
RR22,1,Oral,,,,
RR22,2,Topical,,,,
RR22,3,Inhalation,,,,
RR22,4,Injection,,,,
RR22,5,Intra peritoneal,,,,
RR22,6,Rectal,,,,
RR22,9,Other - please specify in comments,,,,
