coding_standard,code,description,object_type,units,pkb_reference_range,pkb_comment
HL7_0004,B,Obstetrics,,,,
HL7_0004,D,Day Hospital,,,,
HL7_0004,E,Emergency,,,,
HL7_0004,I,Inpatient,,,,
HL7_0004,K,Newborn,,,,
HL7_0004,O,Outpatient,,,,
HL7_0004,P,Preadmit,,,,
HL7_0004,R,Recurring Patient,,,,
HL7_0004,S,Psychiatric,,,,
HL7_0004,W,Week Hospital,,,,
