coding_standard,code,description,object_type,units,pkb_reference_range,pkb_comment
RR52,Y,Y,,,,
RR52,N,N,,,,
RR52,TYPE I,TYPE I,,,,
RR52,TYPE II,TYPE II,,,,
RR52,TYPE UNKNOWN,TYPE UNKNOWN,,,,
RR52,TYPE OTHER,TYPE OTHER,,,,
