coding_standard,code,description,object_type,units,pkb_reference_range,pkb_comment
RR2,NLN,Non-tunnelled line,,,,
RR2,TLN,Tunnelled Line,,,,
RR2,AVF,Arteriovenous fistula,,,,
RR2,AVG,Arteriovenous graft,,,,
RR2,VLP,Vein loop,,,,
RR2,PDC,PD catheter,,,,
RR2,PDE,PD Embedded Catheter,,,,
RR2,PDT,PD catheter temp,,,,
RR2,HER,Hero Graft,,,,
RR2,UNK,Unknown,,,,
