coding_standard,code,description,object_type,units,pkb_reference_range,pkb_comment
RR35,HD,Haemodialysis,,,,
RR35,SLED,Sustained low-efficiency dialysis,,,,
RR35,HDF,Hemodiafiltration,,,,
RR35,CVVH,Continuous venovenous hemofiltration,,,,
RR35,HF,Intermittent hemofiltration,,,,
RR35,UF,Ultrafiltration ,,,,
RR35,PX,Plasma exchange,,,,
